tconst,ordering,nconst,category,job,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
tt0066763,2,nm0000821,actor,\N,"[""Dr. Bhaskar K. Bannerjee"",""Babu Moshai""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0067555,2,nm0000821,actor,\N,"[""Kumar Sen""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0067636,3,nm0000821,actor,\N,"[""Ram G. Chandra""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0068255,1,nm0000821,actor,\N,"[""Birju""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0068305,3,nm0000821,actor,\N,"[""Ravi Kumar""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0068532,1,nm0000821,actor,\N,"[""Manmohan Akash Tyagi""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0068753,3,nm0000821,actor,\N,"[""Dalaljit (Guest Appearance)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0069152,1,nm0000821,actor,\N,"[""Jai Shankar Rai""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0069218,2,nm0000821,actor,\N,"[""Mohan""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0069671,1,nm0000821,actor,\N,"[""Subir Kumar (Beeru)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0069751,2,nm0000821,actor,\N,"[""Dual Role (Shyamu & Deepak)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0070097,3,nm0000821,actor,\N,"[""Ratan""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0070434,2,nm0000821,actor,\N,"[""Vikram (Vicky) Maharaj""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0070637,1,nm0000821,actor,\N,"[""Moti""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0070947,1,nm0000821,actor,\N,"[""Insp. Vijay Khanna""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
